cliente_id,edad,meses_cliente,uso_servicio,pago_mensual,churn
1,22,5,85,39,0
2,59,24,79,26,0
3,52,35,65,25,0
4,41,32,91,29,0
5,40,10,30,42,1
6,63,17,94,26,0
7,22,20,88,57,0
8,54,9,60,37,0
9,28,10,79,54,0
10,22,9,62,46,1
11,45,36,41,30,0
12,69,27,84,25,0
13,56,31,39,49,1
14,58,30,45,30,0
15,56,35,62,26,0
16,59,4,87,57,0
17,45,32,51,37,0
18,24,3,60,17,0
19,62,18,23,37,1
20,41,22,29,36,0
21,44,13,24,54,1
22,37,6,25,47,1
23,27,7,90,23,0
24,67,30,88,21,0
25,59,12,86,42,1
26,52,12,24,17,0
27,39,34,26,29,0
28,61,6,42,21,1
29,46,33,65,15,0
30,41,34,47,57,0
31,41,22,59,19,0
32,30,6,34,15,0
33,22,6,79,57,1
34,47,11,45,23,0
35,65,21,25,52,1
36,21,6,80,16,0
37,63,17,93,22,0
38,61,5,21,20,1
39,32,20,55,47,0
40,51,1,87,43,1
41,26,26,77,36,0
42,58,2,89,26,0
43,55,8,53,19,0
44,36,7,50,41,1
45,21,30,77,25,0
46,69,2,32,42,1
47,41,16,39,46,0
48,65,22,68,54,0
49,53,19,74,37,0
50,59,25,29,15,0
51,58,29,61,27,0
52,28,15,49,54,0
53,37,30,60,39,0
54,42,12,97,43,0
55,44,36,26,36,0
56,20,19,100,22,0
57,46,27,56,56,0
58,26,32,82,50,0
59,57,29,54,60,0
60,54,31,45,54,1
61,66,20,82,28,0
62,57,2,75,26,0
63,37,18,31,26,0
64,69,7,77,57,1
65,39,33,80,40,0
66,35,9,51,35,0
67,65,9,94,59,0
68,37,9,71,42,1
69,22,24,47,56,1
70,42,21,20,60,1
71,60,35,74,18,0
72,28,15,36,31,0
73,42,11,81,48,0
74,24,2,62,52,0
75,54,1,57,21,0
76,43,14,33,29,0
77,35,34,77,40,0
78,30,19,33,51,0
79,47,33,53,20,0
80,53,4,87,42,0
81,67,4,94,28,0
82,41,31,100,24,0
83,26,4,97,38,0
84,62,2,65,34,0
85,51,15,36,44,1
86,55,34,87,29,0
87,23,25,84,52,0
88,34,4,100,18,0
89,58,31,72,54,0
90,62,31,31,16,0
91,41,29,60,48,0
92,60,33,56,30,0
93,62,9,88,32,0
94,38,36,51,15,0
95,65,12,46,47,1
96,33,29,26,22,0
97,30,21,87,45,0
98,54,29,81,48,0
99,51,23,23,53,1
100,25,24,55,47,0
101,62,23,58,28,0
102,28,29,58,48,0
103,60,27,94,52,0
104,18,5,32,29,1
105,60,30,44,20,0
106,59,20,34,55,0
107,59,12,39,21,0
108,53,19,93,42,0
109,42,35,96,25,0
110,55,31,23,20,1
111,32,31,71,50,0
112,59,17,38,21,0
113,47,29,35,45,1
114,42,14,43,46,1
115,44,25,35,17,0
116,48,24,59,22,0
117,19,9,100,51,1
118,25,10,67,38,0
119,31,3,78,20,0
120,24,6,59,60,1
121,41,16,21,27,1
122,53,18,26,15,0
123,52,6,41,57,1
124,42,16,39,15,0
125,63,22,88,40,0
126,47,9,88,60,0
127,22,13,89,41,0
128,58,14,71,41,0
129,48,19,65,32,0
130,51,14,72,20,0
131,47,27,52,41,0
132,47,12,74,56,1
133,22,16,84,19,0
134,47,14,81,55,0
135,60,7,69,34,1
136,34,25,24,39,0
137,49,9,78,22,0
138,19,11,49,43,1
139,36,29,80,23,0
140,41,35,63,27,0
141,70,25,91,48,0
142,29,33,47,17,0
143,32,31,95,35,0
144,39,18,88,42,0
