cliente,edad,mes,consumo_kwh,localidad
1001,35,Enero,350.0,Capital
1001,35,Febrero,300.0,Capital
1001,35,Marzo,400.0,Capital
1001,35,Abril,380.0,Capital
1001,35,Mayo,390.0,Capital
1002,42,Enero,210.0,Banda
1002,42,Febrero,190.0,Banda
1002,42,Marzo,250.0,Banda
1002,42,Abril,260.0,Banda
1002,42,Mayo,280.0,Banda
1003,29,Enero,500.0,Termas
1003,29,Febrero,520.0,Termas
1003,29,Marzo,580.0,Termas
1003,29,Abril,610.0,Termas
1003,29,Mayo,640.0,Termas
1004,38,Enero,420.0,Capital
1004,38,Febrero,410.0,Capital
1004,38,Marzo,455.0,Capital
1004,38,Abril,470.0,Capital
1004,38,Mayo,485.0,Capital
1005,50,Enero,390.0,Banda
1005,50,Febrero,370.0,Banda
1005,50,Marzo,420.0,Banda
1005,50,Abril,430.0,Banda
1005,50,Mayo,450.0,Banda
1006,31,Enero,435.0,Termas
1006,31,Febrero,320.0,Termas
1006,31,Marzo,360.0,Termas
1006,31,Abril,435.0,Termas
1006,31,Mayo,380.0,Termas
1007,47,Enero,610.0,Capital
1007,47,Febrero,590.0,Capital
1007,47,Marzo,620.0,Capital
1007,47,Abril,660.0,Capital
1007,47,Mayo,700.0,Capital
1008,26,Febrero,180.0,Banda
1008,26,Marzo,200.0,Banda
1008,26,Abril,210.0,Banda
1008,26,Mayo,220.0,Banda
1009,38,Febrero,330.0,Termas
1009,38,Marzo,390.0,Termas
1009,38,Abril,420.0,Termas
1009,38,Mayo,450.0,Termas
1010,44,Febrero,560.0,Capital
1010,44,Marzo,600.0,Capital
1010,44,Abril,640.0,Capital
1010,44,Mayo,690.0,Capital
