cliente,edad,mes,consumo_kwh,localidad
1001,35,Enero,350,Capital
1002,42,Enero,210,Banda
1003,29,Enero,500,Termas
1004,,Enero,420,capital
1005,50,Enero,390,Banda
1006,31,Enero,,Termas
1007,47,Enero,610,Capital
1008,26,Enero,-50,Banda
1009,38,Febrero,330, Termas
1010,44,Febrero,560,capital
1001,35,Febrero,300,Capital
1002,42,Febrero,190,Banda
1003,29,Febrero,520,Termas
1004,,Febrero,410,capital
1005,50,Febrero,370,Banda
1006,31,Febrero,320,Termas
1007,47,Febrero,590,Capital
1008,26,Febrero,180,Banda
1009,38,Marzo,390,Termas
1010,44,Marzo,600,capital
1001,35,Marzo,400,Capital
1002,42,Marzo,250,Banda
1003,29,Marzo,580,Termas
1004,,Marzo,455,capital
1005,50,Marzo,420,Banda
1006,31,Marzo,360,Termas
1007,47,Marzo,620,Capital
1008,26,Marzo,200,Banda
1009,38,Abril,420,Termas
1010,44,Abril,640,capital
1001,35,Abril,380,Capital
1002,42,Abril,260,Banda
1003,29,Abril,610,Termas
1004,,Abril,470,capital
1005,50,Abril,430,Banda
1006,31,Abril,,Termas
1007,47,Abril,660,Capital
1008,26,Abril,210,Banda
1009,38,Mayo,450,Termas
1010,44,Mayo,690,capital
1001,35,Mayo,390,Capital
1002,42,Mayo,280,Banda
1003,29,Mayo,640,Termas
1004,,Mayo,485,capital
1005,50,Mayo,450,Banda
1006,31,Mayo,380,Termas
1007,47,Mayo,700,Capital
1008,26,Mayo,220,Banda
